Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Tuluá (Valle del Cauca); 6.785 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Valledupar, Mercabastos; 6.402 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Arauca (Arauca); 2.690 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Armenia, Mercar; 1.013 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Barranquilla, Barranquillita; 1.894 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Barranquilla, Granabastos; 1.819 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Bogotá, D.C., Corabastos; 942 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Bucaramanga, Centroabastos; 1.127 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Cali, Cavasa; 1.452 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Cali, Santa Elena; 1.208 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Cartagena, Bazurto; 1.844 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Cartago (Valle del Cauca); 2.107 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Chiquinquirá (Boyacá); 958 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Cúcuta, Cenabastos; 1.724 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Duitama (Boyacá), Mercaplaza; 1.521 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Ibagué, Plaza La 21; 1.668 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Ipiales (Nariño), Ipiales somos todos; 2.158 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Manizales, Centro Galerías; 1.757 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Marinilla (Antioquia); 1.100 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Medellín, Central Mayorista de Antioquia; 1.218 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;"Medellín, Plaza Minorista ""José María Villa"""; 1.616 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Montería, Mercado del Sur; 1.625 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Neiva, Surabastos; 1.708 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Palmira (Valle del Cauca); 2.093 ;;
