Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabaza;Medellín, Central Mayorista de Antioquia; 925 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabaza;Villavicencio, CAV; 953 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Arauca (Arauca); 1.771 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Armenia, Mercar; 1.864 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Barranquilla, Barranquillita; 2.098 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Barranquilla, Granabastos; 2.013 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Bogotá, D.C., Corabastos; 1.703 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Bucaramanga, Centroabastos; 1.633 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Cartagena, Bazurto; 2.038 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Cartago (Valle del Cauca); 1.986 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Chiquinquirá (Boyacá); 1.390 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Cúcuta, Cenabastos; 1.719 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Duitama (Boyacá), Mercaplaza; 1.779 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Florencia (Caquetá); 1.903 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Ibagué, Plaza La 21; 1.774 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Manizales, Centro Galerías; 1.944 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Medellín, Central Mayorista de Antioquia; 1.814 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;"Medellín, Plaza Minorista ""José María Villa"""; 2.017 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Montería, Mercado del Sur; 1.822 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Pamplona (Norte de Santander); 1.564 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Pereira, La 41; 1.887 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Pereira, Mercasa; 1.810 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Rionegro (Antioquia); 1.984 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;San Gil (Santander); 1.754 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Santa Marta (Magdalena); 1.961 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Sincelejo, Nuevo Mercado; 1.921 ;;;;
